level,question,year,city,town,name,value
neighborhoods,Annual checkup,2018,Stamford,NA,Waterside,0.7649999999999999
neighborhoods,Annual checkup,2018,Stamford,NA,West Side,0.7615361348418378
neighborhoods,Annual checkup,2018,Stamford,NA,Westover,0.8079999999999999
tracts,Annual checkup,2018,NA,NA,09001010101,0.8190000000000001
tracts,Annual checkup,2018,NA,NA,09001010102,0.81
tracts,Annual checkup,2018,NA,NA,09001010201,0.813
tracts,Annual checkup,2018,NA,NA,09001010202,0.794
tracts,Annual checkup,2018,NA,NA,09001010300,0.8079999999999999
tracts,Annual checkup,2018,NA,NA,09001010400,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001010500,0.7739999999999999
tracts,Annual checkup,2018,NA,NA,09001010600,0.785
tracts,Annual checkup,2018,NA,NA,09001010700,0.8059999999999999
tracts,Annual checkup,2018,NA,NA,09001010800,0.787
tracts,Annual checkup,2018,NA,NA,09001010900,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001011000,0.795
tracts,Annual checkup,2018,NA,NA,09001011100,0.8029999999999999
tracts,Annual checkup,2018,NA,NA,09001011200,0.812
tracts,Annual checkup,2018,NA,NA,09001011300,0.7640000000000001
tracts,Annual checkup,2018,NA,NA,09001020100,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001020200,0.81
tracts,Annual checkup,2018,NA,NA,09001020300,0.804
tracts,Annual checkup,2018,NA,NA,09001020400,0.802
tracts,Annual checkup,2018,NA,NA,09001020500,0.8079999999999999
tracts,Annual checkup,2018,NA,NA,09001020600,0.7879999999999999
tracts,Annual checkup,2018,NA,NA,09001020700,0.802
tracts,Annual checkup,2018,NA,NA,09001020800,0.7879999999999999
tracts,Annual checkup,2018,NA,NA,09001020900,0.762
tracts,Annual checkup,2018,NA,NA,09001021000,0.777
tracts,Annual checkup,2018,NA,NA,09001021100,0.764
tracts,Annual checkup,2018,NA,NA,09001021200,0.797
tracts,Annual checkup,2018,NA,NA,09001021300,0.774
tracts,Annual checkup,2018,NA,NA,09001021400,0.779
