level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
tract,NA,NA,09013530200,76,0.31,0.14,0.06,0.13,0.1,0.31,0.76,0.58,0.1,0.21,0.38
tract,NA,NA,09013530301,79,0.26,0.12,0.05,0.12,0.09,0.3,0.77,0.66,0.07,0.17,0.36
tract,NA,NA,09013530302,80.9,0.22,0.1,0.05,0.1,0.08,0.3,0.79,0.75,0.05,0.11,0.31
tract,NA,NA,09013530400,80.2,0.23,0.1,0.05,0.11,0.08,0.28,0.77,0.7,0.06,0.14,0.34
tract,NA,NA,09013530500,81.4,0.24,0.11,0.06,0.11,0.09,0.32,0.79,0.73,0.05,0.13,0.33
tract,NA,NA,09013533101,81.4,0.19,0.08,0.04,0.1,0.07,0.28,0.78,0.76,0.04,0.12,0.32
tract,NA,NA,09013535100,82.5,0.2,0.09,0.04,0.11,0.08,0.28,0.77,0.75,0.05,0.13,0.32
tract,NA,NA,09013535200,81.6,0.21,0.09,0.05,0.11,0.08,0.28,0.77,0.74,0.05,0.14,0.33
tract,NA,NA,09013538201,81.2,0.21,0.09,0.05,0.11,0.08,0.3,0.78,0.76,0.04,0.12,0.32
tract,NA,NA,09013538202,82,0.22,0.1,0.05,0.1,0.08,0.31,0.79,0.76,0.04,0.12,0.32
tract,NA,NA,09013840100,80.6,0.23,0.09,0.05,0.11,0.08,0.27,0.76,0.71,0.06,0.14,0.33
tract,NA,NA,09013850100,83.2,0.19,0.08,0.04,0.11,0.07,0.28,0.78,0.77,0.04,0.12,0.33
tract,NA,NA,09013850200,79.7,0.2,0.08,0.04,0.11,0.07,0.27,0.77,0.75,0.05,0.13,0.33
tract,NA,NA,09013860100,81.9,0.21,0.09,0.05,0.11,0.08,0.3,0.79,0.76,0.04,0.12,0.32
tract,NA,NA,09013881100,83.2,0.25,0.12,0.06,0.11,0.1,0.32,0.79,0.71,0.05,0.13,0.33
tract,NA,NA,09013881500,81.9,0.26,0.11,0.05,0.12,0.09,0.29,0.77,0.69,0.06,0.13,0.33
tract,NA,NA,09013890100,75.8,0.25,0.11,0.05,0.12,0.08,0.29,0.76,0.68,0.07,0.16,0.35
tract,NA,NA,09013890201,81.5,0.24,0.1,0.06,0.11,0.09,0.31,0.78,0.72,0.06,0.15,0.34
tract,NA,NA,09013890202,79.8,0.25,0.12,0.06,0.11,0.09,0.32,0.78,0.71,0.06,0.16,0.34
tract,NA,NA,09015800300,77.5,0.39,0.13,0.04,0.14,0.1,0.24,0.7,0.55,0.15,0.18,0.36
tract,NA,NA,09015800400,79.8,0.29,0.13,0.05,0.11,0.11,0.3,0.74,0.66,0.12,0.16,0.35
